instrument_dir,data_file,dataset_name,dataset_origin_name,language,form,form_type,license,contributor,citation,longitudinal,age_min,age_max
EnglishBritish_TEDSTwos,EnglishBritishTEDSTwos_data.csv,TEDS,TEDS_Twos_English (British)_TEDS Twos,English (British),TEDS Twos,WS,CC-BY,Philip Dale (University of New Mexico),"Dale, P. S., Price, T. S., Bishop, D. V. M., & Plomin, R. (2003). Outcomes of early language delay: I. Predicting persistent and transient difficulties at 3 and 4 years. Journal of Speech-Language-Hearing Research, 46, 544–560.",FALSE,20,35
EnglishBritish_TEDSThrees,EnglishBritishTEDSThrees_data.csv,TEDS,TEDS_Threes_English (British)_TEDS Threes,English (British),TEDS Threes,WS,CC-BY,Philip Dale (University of New Mexico),"Dale, P. S., Price, T. S., Bishop, D. V. M., & Plomin, R. (2003). Outcomes of early language delay: I. Predicting persistent and transient difficulties at 3 and 4 years. Journal of Speech-Language-Hearing Research, 46, 544–560.",FALSE,34,47
ASL_FormA,ASLFormA_data.csv,Marchman,Marchman__American Sign Language_FormA,American Sign Language,Form A,WG,CC-BY,"Diane Anderson (University of California, Berkeley)","Anderson, D., & Reilly, J. (2002). The MacArthur Communicative Development Inventory: Normative data for American Sign Language. Journal of Deaf Studies and Deaf Education, 7(2), 83–106.",FALSE,8,36
ASL_FormB1,ASLFormB1_data.csv,Marchman,Marchman__American Sign Language_FormBOne,American Sign Language,Form B1,WS,CC-BY,"Diane Anderson (University of California, Berkeley)","Anderson, D., & Reilly, J. (2002). The MacArthur Communicative Development Inventory: Normative data for American Sign Language. Journal of Deaf Studies and Deaf Education, 7(2), 83–106.",FALSE,8,36
ASL_FormB2,ASLFormB2_data.csv,Marchman,Marchman__American Sign Language_FormBTwo,American Sign Language,Form B2,WS,CC-BY,"Diane Anderson (University of California, Berkeley)","Anderson, D., & Reilly, J. (2002). The MacArthur Communicative Development Inventory: Normative data for American Sign Language. Journal of Deaf Studies and Deaf Education, 7(2), 83–106.",FALSE,8,36
ASL_FormC,ASLFormC_data.csv,Marchman,Marchman__American Sign Language_FormC,American Sign Language,Form C,WS,CC-BY,"Diane Anderson (University of California, Berkeley)","Anderson, D., & Reilly, J. (2002). The MacArthur Communicative Development Inventory: Normative data for American Sign Language. Journal of Deaf Studies and Deaf Education, 7(2), 83–106.",FALSE,8,36
GreekCypriot_WS,GreekCypriotWS_Grohmann_data.csv,Grohmann,Grohmann__Greek (Cypriot)_WS,Greek (Cypriot),WS,WS,CC-BY,Kleanthes K. Grohmann (University of Cyprus),"Taxitari, Loukia, Maria Kambanaros & Kleanthes K. Grohmann. 2015. ‘A Cypriot Greek Adaptation of the CDI: Early Production of Translation Equivalents in a Bi(dia)lectal Context’. Journal of Greek Linguistics 15, 1–24.",FALSE,18,30
Kigiriama_WG,KigiriamaWG_Alcock_data.csv,Alcock,Alcock__Kigiriama_WG,Kigiriama,WG,WG,CC-BY,Katie Alcock (Lancaster University),"Alcock, K., Rimba, K., Holding, P., Kitsao-Wekulo, P., Abubakar, A., Newton, C.R.J.C. (2015). Developmental inventories using illiterate parents as informants: Communicative Development Inventory (CDI) adaptation for two Kenyan languages. Journal of Child Language, 42, 763–785.",FALSE,8,15
Kigiriama_WS,KigiriamaWS_Alcock_data.csv,Alcock,Alcock__Kigiriama_WS,Kigiriama,WS,WS,CC-BY,Katie Alcock (Lancaster University),"Alcock, K., Rimba, K., Holding, P., Kitsao-Wekulo, P., Abubakar, A., Newton, C.R.J.C. (2015). Developmental inventories using illiterate parents as informants: Communicative Development Inventory (CDI) adaptation for two Kenyan languages. Journal of Child Language, 42, 763–785.",FALSE,16,30
Kiswahili_WG,KiswahiliWG_Alcock_data.csv,Alcock,Alcock__Kiswahili_WG,Kiswahili,WG,WG,CC-BY,Katie Alcock (Lancaster University),"Alcock, K., Rimba, K., Holding, P., Kitsao-Wekulo, P., Abubakar, A., Newton, C.R.J.C. (2015). Developmental inventories using illiterate parents as informants: Communicative Development Inventory (CDI) adaptation for two Kenyan languages. Journal of Child Language, 42, 763–785.",FALSE,8,15
Kiswahili_WS,KiswahiliWS_Alcock_Monolingual_data.csv,Alcock,Alcock__Kiswahili_WS,Kiswahili,WS,WS,CC-BY,Katie Alcock (Lancaster University),"Alcock, K., Rimba, K., Holding, P., Kitsao-Wekulo, P., Abubakar, A., Newton, C.R.J.C. (2015). Developmental inventories using illiterate parents as informants: Communicative Development Inventory (CDI) adaptation for two Kenyan languages. Journal of Child Language, 42, 763–785.",FALSE,16,30
Kiswahili_WS,KiswahiliWS_Alcock_BothLanguages_data.csv,Alcock,Alcock__Kiswahili_WS,Kiswahili,WS,WS,CC-BY,Katie Alcock (Lancaster University),"Alcock, K., Rimba, K., Holding, P., Kitsao-Wekulo, P., Abubakar, A., Newton, C.R.J.C. (2015). Developmental inventories using illiterate parents as informants: Communicative Development Inventory (CDI) adaptation for two Kenyan languages. Journal of Child Language, 42, 763–785.",FALSE,16,30
MandarinBeijing_IC,MandarinBeijingIC_Li_data.csv,Li,Li__Mandarin (Beijing)_IC,Mandarin (Beijing),IC,WG,CC-BY,Ping Li (Pennsylvania State University),"Hao, M., Shu, H., Xing, A., & Li, P. (2008).  Early vocabulary inventory for Mandarin Chinese.  Behavior Research Methods, 40, 728–733.",FALSE,12,16
Czech_WS,CzechWS_Smolik_data.csv,Smolik,Smolik__Czech_WS,Czech,WS,WS,CC-BY,Filip Smolik (Academy of Sciences of the Czech Republic),"Markova, G., Smolík, F. (2014). What Do You Think? The Relationship between Person Reference and Communication About the Mind in Toddlers. Social Development, 23, 61–79. DOI: 10.1111/sode.12044",FALSE,16,30
EnglishAustralian_WS,EnglishAustralianWS_Kalashnikova_data.csv,Kalashnikova,Kalashnikova__English (Australian)_WS,English (Australian),WS,WS,CC-BY,"Marina Kalashnikova (MARCS Institute for Brain, Behaviour and Development)","Kalashnikova, M., Schwarz, I.-C., & Burnham, D. (2016). OZI: Australian English Communicative Development. First Language, 36, 407–427.",FALSE,12,30
EnglishBritish_Oxford,EnglishBritishOxford_Floccia_longitudinal_data.csv,Floccia,Floccia_Longitudinal_English (British)_Oxford CDI,English (British),Oxford CDI,WG,CC-BY,Caroline Floccia (Plymouth University),"Floccia, C. (2017). Data collected with the Oxford CDI over a course of 5 years in Plymouth Babylab, UK. With the permission of Plunkett, K. and the Oxford CDI from Hamilton, A., Plunkett, K., & Schafer, G., (2000). Infant vocabulary development assessed with a British Communicative Development Inventory: Lower scores in the UK than the USA. Journal of Child Language, 27, 689–705.",TRUE,12,25
Latvian_WG,LatvianWG_Urek_data.csv,Urek,Urek__Latvian_WG,Latvian,WG,WG,CC-BY,Olga Urek (The Arctic University of Norway),"Urek, O., Vulāne, A., Darģis, R., Tauriņa, A., Zīriņa, T., & Simonsen, H. G. (2019). Latvian CDI: methodology, developmental trends, and cross-linguistic comparison. Journal of Baltic Studies, 50(3), 285–305. DOI: 10.1080/01629778.2019.1590433",FALSE,8,16
Latvian_WS,LatvianWS_Urek_data.csv,Urek,Urek__Latvian_WS,Latvian,WS,WS,CC-BY,Olga Urek (The Arctic University of Norway),"Urek, O., Vulāne, A., Darģis, R., Tauriņa, A., Zīriņa, T., & Simonsen, H. G. (2019). Latvian CDI: methodology, developmental trends, and cross-linguistic comparison. Journal of Baltic Studies, 50(3), 285–305. DOI: 10.1080/01629778.2019.1590433",FALSE,17,36
Korean_WG,KoreanWG_Yim_data.csv,Yim,Yim__Korean_WG,Korean,WG,WG,CC-BY,Dongsun Yim (Ewha Womans University),,TRUE,8,17
Korean_WS,KoreanWS_Yim_data.csv,Yim,Yim__Korean_WS,Korean,WS,WS,CC-BY,Dongsun Yim (Ewha Womans University),,TRUE,18,36
SpanishMexican_WG,SpanishMexicanWG_Fernald_SLENA_data.csv,Fernald,Fernald_Outreach_Spanish (Mexican)_WG,Spanish (Mexican),WG,WG,CC-BY,Anne Fernald (Stanford University),"​Weisleder, A., & Fernald, A. (2013). Talking to children matters: Early language experience strengthens processing and builds vocabulary. Psychological Science, 24, 2143–2152. DOI: 10.1177/0956797613488145",TRUE,8,18
SpanishMexican_WS,SpanishMexicanWS_Fernald_SLENA_data.csv,Fernald,Fernald_Outreach_Spanish (Mexican)_WS,Spanish (Mexican),WS,WS,CC-BY,Anne Fernald (Stanford University),"​Weisleder, A., & Fernald, A. (2013). Talking to children matters: Early language experience strengthens processing and builds vocabulary. Psychological Science, 24, 2143–2152. DOI: 10.1177/0956797613488145",TRUE,16,30
Korean_WS,KoreanWS_Pae_data.csv,Pae,Pae__Korean_WS,Korean,WS,WS,CC-BY-NC,Soyeong Pae (Hallym University),"​Pae, S., & Kwak, K. (2011). Korean MacArthur-Bates Communicative Development Inventories (K M-B CDI). Seoul: Mindpress.",FALSE,18,36
Korean_WG,KoreanWG_Pae_data.csv,Pae,Pae__Korean_WG,Korean,WG,WG,CC-BY-NC,Soyeong Pae (Hallym University),"​Pae, S., & Kwak, K. (2011). Korean MacArthur-Bates Communicative Development Inventories (K M-B CDI). Seoul: Mindpress.",FALSE,8,17
FrenchFrench_WS,FrenchFrenchWS_Bergmann_data.csv,Bergmann,Bergmann__French (French)_WS,French (French),WS,WG,CC-BY,"Christina Bergmann (Max Planck Institute for Psycholinguistics), Anne-Caroline Fievet (Laboratoire de Sciences Cognitives et Psycholinguistique (ENS, EHESS, CNRS))",,FALSE,16,30
FrenchFrench_WG,FrenchFrenchWG_VonHolzen_data.csv,VonHolzen,VonHolzen__French (French)_WG,French (French),WG,WG,CC-BY,Katie Von Holzen (University of Maryland),"​Von Holzen, K., Nishibayashi, L.-L., & Nazzi, T. (2018). Consonant and vowel processing in word form segmentation: An infant ERP study. Brain Sciences, 8(24), 1–15. DOI: 10.3390/brainsci8020024.",TRUE,8,16
FrenchFrench_WS,FrenchFrenchWS_VonHolzen_data.csv,VonHolzen,VonHolzen__French (French)_WS,French (French),WS,WS,CC-BY,Katie Von Holzen (University of Maryland),"​Von Holzen, K., Nishibayashi, L.-L., & Nazzi, T. (2018). Consonant and vowel processing in word form segmentation: An infant ERP study. Brain Sciences, 8(24), 1–15. DOI: 10.3390/brainsci8020024.",TRUE,16,30
PortugueseEuropean_WG,PortugueseEuropeanWG_Cadime_data.csv,Cadime,Cadime__Portuguese (European)_WG,Portuguese (European),WG,WG,CC-BY,Irene Cadime (University of Minho),,FALSE,8,15
PortugueseEuropean_WS,PortugueseEuropeanWS_Cadime_data.csv,Cadime,Cadime__Portuguese (European)_WS,Portuguese (European),WS,WS,CC-BY,Irene Cadime (University of Minho),​,FALSE,16,30
