itemID,category,item,definition,choices,type,complexity_category,gloss,uni_lemma
item_208,household,Ismallitems11computer_laptop,I Words for small household items - 11 computer/laptop,understands; produces,word,NA,computer/laptop,computer
item_209,household,Ismallitems12cup,I Words for small household items - 12 cup,understands; produces,word,NA,cup,cup
item_210,household,Ismallitems13dummy,I Words for small household items - 13 dummy/dodie/soother,understands; produces,word,NA,dummy/dodie/soother,pacifier
item_211,household,Ismallitems14fork,I Words for small household items - 14 fork,understands; produces,word,NA,fork,fork
item_212,household,Ismallitems15glass,I Words for small household items - 15 glass,understands; produces,word,NA,glass,glass
item_213,household,Ismallitems16hoover,I Words for small household items - 16 hoover,understands; produces,word,NA,hoover,vacuum
item_214,household,Ismallitems17keys,I Words for small household items - 17 key,understands; produces,word,NA,key,key
item_215,household,Ismallitems18lamplight,I Words for small household items - 18 lamp/light,understands; produces,word,NA,lamp/light,lamp
item_216,household,Ismallitems19medicine,I Words for small household items - 19 medicine,understands; produces,word,NA,medicine,medicine
item_217,household,Ismallitems20money,I Words for small household items - 20 money,understands; produces,word,NA,money,money
item_218,household,Ismallitems21paper,I Words for small household items - 21 paper,understands; produces,word,NA,paper,paper
item_219,household,Ismallitems22phonemobile,I Words for small household items - 22 phone/telephone/mobile,understands; produces,word,NA,phone/telephone/mobile,telephone
item_220,household,Ismallitems23picture,I Words for small household items - 23 picture,understands; produces,word,NA,picture,picture
item_221,household,Ismallitems24pillow,I Words for small household items - 24 pillow,understands; produces,word,NA,pillow,pillow
item_222,household,Ismallitems25plant,I Words for small household items - 25 plant,understands; produces,word,NA,plant,plant
item_223,household,Ismallitems26plate,I Words for small household items - 26 plate,understands; produces,word,NA,plate,plate
item_224,household,Ismallitems27purse,I Words for small household items - 27 purse,understands; produces,word,NA,purse,purse
item_225,household,Ismallitems28radio,I Words for small household items - 28 radio,understands; produces,word,NA,radio,radio
item_226,household,Ismallitems29rubbish,I Words for small household items - 29 rubbish,understands; produces,word,NA,rubbish,trash
item_227,household,Ismallitems30scissors,I Words for small household items - 30 scissors,understands; produces,word,NA,scissors,scissors
item_228,household,Ismallitems31soap,I Words for small household items - 31 soap,understands; produces,word,NA,soap,soap
item_229,household,Ismallitems32spoon,I Words for small household items - 32 spoon,understands; produces,word,NA,spoon,spoon
item_230,household,Ismallitems33toothbrush,I Words for small household items - 33 toothbrush,understands; produces,word,NA,toothbrush,toothbrush
item_231,household,Ismallitems34towel,I Words for small household items - 34 towel,understands; produces,word,NA,towel,towel
item_232,household,Ismallitems35watch,I Words for small household items - 35 watch,understands; produces,word,NA,watch,watch (object)
item_233,outside,Joutside1flower,J Outside words - 1 flower,understands; produces,word,NA,flower,flower
item_234,outside,Joutside2garden,J Outside words - 2 garden,understands; produces,word,NA,garden,garden
item_235,outside,Joutside3grass,J Outside words - 3 grass,understands; produces,word,NA,grass,grass
item_236,outside,Joutside4house,J Outside words - 4 house,understands; produces,word,NA,house,house
item_237,outside,Joutside5moon,J Outside words - 5 moon,understands; produces,word,NA,moon,moon
item_238,outside,Joutside6outside,J Outside words - 6 outside,understands; produces,word,NA,outside,outside
item_239,outside,Joutside7park,J Outside words - 7 park,understands; produces,word,NA,park,park
item_240,outside,Joutside8party,J Outside words - 8 party,understands; produces,word,NA,party,party
item_241,outside,Joutside9rain,J Outside words - 9 rain,understands; produces,word,NA,rain,rain (weather)
item_242,outside,Joutside10road,J Outside words - 10 road,understands; produces,word,NA,road,road
item_243,outside,Joutside11shop,J Outside words - 11 shop,understands; produces,word,NA,shop,shop
item_244,outside,Joutside12sky,J Outside words - 12 sky,understands; produces,word,NA,sky,sky
item_245,outside,Joutside13slide,J Outside words - 13 slide,understands; produces,word,NA,slide,slide
item_246,outside,Joutside14snow,J Outside words - 14 snow,understands; produces,word,NA,snow,snow
item_247,outside,Joutside15star,J Outside words - 15 star,understands; produces,word,NA,star,star
item_248,outside,Joutside16stone,J Outside words - 16 stone,understands; produces,word,NA,stone,stone
item_249,outside,Joutside17sun,J Outside words - 17 sun,understands; produces,word,NA,sun,sun
item_250,outside,Joutside18swing,J Outside words - 18 swing,understands; produces,word,NA,swing,swing
item_251,outside,Joutside19tree,J Outside words - 19 tree,understands; produces,word,NA,tree,tree
item_252,outside,Joutside20wall,J Outside words - 20 wall,understands; produces,word,NA,wall,wall
item_253,outside,Joutside21water,J Outside words - 21 water,understands; produces,word,NA,water (not beverage),water (not beverage)
item_254,people,Kpeople1aunt,K Words for people - 1 aunt,understands; produces,word,NA,aunt,aunt
item_255,people,Kpeople2baby,K Words for people - 2 baby/bairn/wee one,understands; produces,word,NA,baby/bairn/wee one,baby
item_256,people,Kpeople3boy,K Words for people - 3 boy/laddie,understands; produces,word,NA,boy/laddie,boy
item_257,people,Kpeople4brother,K Words for people - 4 brother,understands; produces,word,NA,brother,brother
item_258,people,Kpeople5ownname,K Words for people - 5 child’s own name,understands; produces,word,NA,child’s own name,child's own name
item_259,people,Kpeople6daddy,K Words for people - 6 dad/daddy/da,understands; produces,word,NA,dad/daddy/da,daddy
item_260,people,Kpeople7girl,K Words for people - 7 girl/lassie,understands; produces,word,NA,girl/lassie,girl
item_261,people,Kpeople8grandma,K Words for people - 8 grandma/nan/granny/nanny,understands; produces,word,NA,grandma/nan/granny/nanny,grandma
item_262,people,Kpeople9grandpa,K Words for people - 9 grandpa/granddad,understands; produces,word,NA,grandpa/granddad,grandpa
item_263,people,Kpeople10lady,K Words for people - 10 lady,understands; produces,word,NA,lady,lady
item_264,people,Kpeople11man,K Words for people - 11 man,understands; produces,word,NA,man,man
item_265,people,Kpeople12mummy,K Words for people - 12 mum/mummy/mam/ma,understands; produces,word,NA,mum/mummy/mam/ma,mummy
item_266,people,Kpeople13people,K Words for people - 13 people/folk,understands; produces,word,NA,people/folk,people
item_267,people,Kpeople14police,K Words for people - 14 police/policeman,understands; produces,word,NA,police/policeman,police
item_268,people,Kpeople15sister,K Words for people - 15 sister,understands; produces,word,NA,sister,sister
item_269,people,Kpeople16uncle,K Words for people - 16 uncle,understands; produces,word,NA,uncle,uncle
item_270,games_routines,Lroutines1bath,L Words for games and routines - 1 bath,understands; produces,word,NA,bath,bath
item_271,games_routines,Lroutines2breakfast,L Words for games and routines - 2 breakfast,understands; produces,word,NA,breakfast,breakfast
