study_id,form,study,binder,sex/gender,date filled,age_days,age_mos,completedby,respname,respno,reactmd,arehngry,aretired,becarefl,bequiet,claphand,cgdiaper,comehere,mdhome,wantmore,dontdo,dontouch,getup,givemom,givehug,givekiss,goget,goodgb,holdstil,gobyebye,lookhere,openmth,sitdown,spitout,stopit,gonight,throwbll,litpiggy,wantride,imitate,label,baabaa,choochoo,cockddld,grr,meow,moo,ouch,quackqck,uhoh,vroom,woofwoof,yumyum,animal,bear,bee,bird,bug,bunny,buttrfly,cat,chicken1,cow,deer,dog,donkey,duck,elephant,fish1,frog,giraffe,goose,horse,kitty,lamb,lion,monkey,mouse,owl,penguin,pig,pony,puppy,sheep,squirrel,teddyber,tiger,turkey,turtle,airplane,bicycle,bus,car,firetrck,motrcycl,stroller,train,truck,ball,balloon,block,book,bubbles,doll,pen,toy,apple,banana,bread,butter,cake,candy,carrots,cereal,cheerios,cheese,chicken2,coffee,cookie,cracker,drink1,egg,fish2,food,icecream,juice,meat,milk,noodles,orange1,peas,pizza,raisin,spaghett,toast,water1,beads,bib,boots,button,coat,diaper,dress,hat,jacket,jeans,necklace,pajamas,pants,shirt,shoe,shorts,sock,sweater,zipper,arm,bllybttn,cheek,ear,eye,face,foot,finger,hair,hand,head,knee,leg,mouth,nose,owie,tooth,toe,tongue,tummy,blanket,bottle,bowl,box,broom,brush,clock,comb,cup,dish,fork,glass,glasses,hammer,keys,lamp,light,medicine,money,paper,penny,picture,pillow,plant,plate,purse,radio,scissors,soap,spoon,telephone,toothbrush,towel,trash,vacuum,watch1,bathroom,bathtub,bed,bedroom,chair,couch,crib,door,drawer,garage,highchar,kitchen,livingrm,oven,playpen,potty,refrigerator,rockingchair,sink,stairs,stove,table,tv,window,backyard,beach,church,flower,garden,home,house,moon,outside,park,party,pool,rain,rock,school,shovel,sky,slide1,snow,star,store,sun,swing1,tree,water2,work1,zoo,aunt,baby,babysttr,babysittername,boy,brother,child,daddy,girl,grandma,grandpa,lady,man,mommy,childname,people,person,sister,teacher,uncle,bath,breakfst,bye,dinner,dont,hello,hi,lunch,nap,nghtnght,no,patycak,peekaboo,please,shh,thankyou,wait,wanna,yes,bite,blow,break,bring,bump,clean1,close,cry,dance,draw,drink2,drive,eat,fall,feed,finish,get,give,go,help,hit,hug,hurry,jump,kick,kiss,look,love,open,play,pull,push,put,read,ride,run,say,see,show,sing,sleep,smile,splash,stop,swim,swing2,take,throw,tickle,touch,watch2,walk,wash,wipe,write,day,later,morning,night,now,today,tomorrow,tonight,allgone,asleep,bad,big,blue,broken,careful,clean2,cold,cute,dark,dirty,dry2,empty,fast,fine,gentle,good,happy,hard,hot,hungry,hurt,little,naughty,nice,old,pretty,red,scared,sick,sleepy,soft,thirsty,tired,wet,yucky,her,his,i,it,me,mine,my,that,this,you,your,how,what,when,where,who,why,away,back,down,in,inside,off,on,out,there,underprep,upprep,allquant,another,more,none,notquant,other,same,some,armshow,reachout,points,waves,pickup,shakhead,nodhead,showhush,request,blowkiss,smacklip,shrugs,playpeek,patycak2,sobig,chase,dosing,dodance,eatspoon,drinkcup,combhair,bshteeth,wipeface,puthat,putshoe,putwatch,ptdsleep,blowhot,flyplane,ptndtele,snifflow,pushcar,throwges,ptndpour,ptndstir,putobed,cover,feedbotl,feedspon,brushit,burbit,pushit,rockit,kissit,dressit,wipeit,talkit,diaperit,sweep,putkey,pound,usesaw,type,ptndread,dovacuum,waterplt,playmus,ptnddriv,washdish,usecloth,usepen,dig,wearglas,playpretend,id,Comp_items,Comp_items_tot,Prod_items,subnum,Sex,border,numkids,Ethnicity,race,eth,momed,hollingshead,age,Comp,Compptile,Prod,Prodptile,Totgest,Totgestptile,Phrases,Phrasesptile
10026,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-05-19,483,15,NA,1,1,1,1,,1,,1,1,1,1,1,,,,1,,,,1,,1,1,,,,,1,,,,s,s,1,,1,1,1,2,1,2,,2,1,1,1,2,,1,,1,,1,1,1,,1,1,2,1,2,,,1,1,2,,1,1,,1,1,1,,1,1,,1,1,1,1,,,,1,,,1,,,1,1,,1,1,,,1,,1,1,,,,1,,1,2,,,,1,1,,,1,,,1,1,1,1,1,,1,,,1,,1,,,1,1,,1,1,,,1,1,1,2,,1,1,,,1,1,1,1,,1,1,1,1,,,1,1,1,,1,,1,1,,,1,1,,,1,1,1,,1,,,,,,1,,,1,,1,,,1,,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,1,,1,,,1,,,1,,1,1,,,1,1,,1,,1,,,1,,1,1,1,,1,1,1,,,,,1,2,,1,1,,,1,1,,,,,1,1,1,2,,1,1,2,,1,1,1,,1,,,,1,1,1,1,1,,1,1,,1,1,,,1,,1,1,1,,1,1,1,,1,1,,,,1,1,,1,1,1,1,,1,1,,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,,,1,,,,1,1,,,,,,,1,,,1,,1,,,,1,,,,1,1,,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,,1,,1,1,1,,,,,o,o,o,o,o,s,n,s,s,o,n,n,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,,10026,201,213,12,10026,F,1,1,W,W,NA,16,63,15,213,64,12,29,31,20,12,14
10027,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-06-19,516,16,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,n,n,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,o,o,o,s,o,s,o,n,n,n,n,n,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,10027,355,356,1,10027,M,2,2,W,W,NA,18,66,16,358,99,1,5,35,28,27,90
10028,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-07-15,536,17,NA,1,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,s,s,,,1,,2,1,1,2,2,1,2,2,1,2,2,2,,1,1,2,1,1,,2,,2,1,2,1,,,,,,,,2,,,1,,,,,,1,,1,2,1,,1,2,,,,1,2,2,2,2,1,,,,,2,,,,,,1,1,1,1,,,,,,,1,,,,2,,1,2,,,2,2,1,,1,,,,1,,2,,,,1,1,1,2,1,2,,,,,,1,2,1,1,,1,1,1,,,1,2,,1,2,1,1,1,1,,,1,1,,,1,,1,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,,,1,,1,1,1,1,1,1,,1,1,1,1,,,1,1,,1,,,1,1,1,1,,,1,,1,1,2,1,1,,1,,,,,2,1,,,1,1,1,2,1,,,,1,,,2,,,2,1,2,2,,,2,1,,,,,,,,2,,1,1,2,,1,,2,1,1,,,1,1,,,1,,,,1,,,,1,,1,,1,1,,,,,2,1,1,2,,2,2,1,1,,1,,,,,1,1,1,,,1,,1,,1,1,1,,,2,2,,,1,,1,,,,,,,,,,2,1,,,,,1,,,,,,,,,,1,,,,2,1,2,,,,,,,1,,1,,1,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,o,s,p,p,p,p,pn,n,n,s,o,o,1,1,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,10028,123,174,51,10028,M,1,1,W,W,NA,16,58,17,176,34,52,50,36,18,23,50
10029,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-08-01,538,17,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,o,s,2,2,2,2,2,2,2,2,2,,2,,2,2,,2,,2,2,2,1,2,,2,2,2,2,2,2,,,2,2,,1,2,1,2,1,,,2,2,,1,2,1,2,2,1,2,2,,,1,1,1,2,2,2,2,,,,,2,2,1,2,,,1,2,,1,1,,1,2,,2,1,,1,2,,1,1,1,,,,,,2,,,,,1,1,1,2,2,,1,2,1,2,2,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,2,2,,2,,2,,,,,,,,,,,2,,,,2,,2,,2,,,,2,,2,,,2,,,,,,1,,,2,,,,,2,2,2,,,,2,,2,,,,2,,2,,,,2,2,,,1,,,2,1,2,1,1,2,2,1,1,2,2,,2,2,,1,1,2,2,1,1,,1,,,1,,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,,1,,2,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,2,1,,,,,,,1,,,1,1,,,,1,,1,,2,,,,,,,1,,1,,1,,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,,1,,1,1,,,1,1,1,1,2,2,1,1,1,2,2,,2,,,,,,o,o,s,o,o,o,s,n,n,n,n,n,1,0,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,10029,107,232,125,10029,F,2,2,A,A,NA,18,64,17,233,46,126,76,37,15,27,75
10030,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-07-12,519,17,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,s,n,2,1,1,,2,2,1,2,,,,2,,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,,,1,,,,,,1,,1,,,1,,,,,,1,,,1,,,,,2,2,2,1,2,2,,,1,,2,,,,,,,1,1,1,,1,2,1,,1,1,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,1,,1,,,,1,,1,1,,1,1,,,1,,,1,1,,1,1,1,1,,,,,1,,2,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,1,1,1,1,1,1,,,1,1,1,,,1,,1,,,,1,,1,1,,,,,1,1,1,1,1,,1,,,,,1,1,,,,,1,,,,,,1,,,,,,2,,1,1,,,2,1,,,,,,1,,2,1,,,,1,1,1,1,,2,1,,1,,,1,1,1,,1,,1,,,1,,1,,1,,,1,,1,,1,,1,,,1,1,,,1,1,,,,1,,,,,1,,1,,1,,,1,,1,1,1,,,1,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,1,,,,1,,,1,,,1,,,,,,o,o,o,o,o,s,n,n,n,s,n,s,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,1,1,1,,1,10030,129,146,17,10030,M,1,1,W,W,NA,18,64,17,139,22,17,17,32,12,22,40
10031,english_wg,totlot2,totlot2_15-17m_2.pdf,F,2005-06-21,521,17,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,2,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,2,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,2,2,,,,,1,2,2,1,2,2,1,2,2,,2,,,2,,2,2,2,2,2,,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,2,,,2,2,,2,2,2,,2,2,2,2,2,2,2,2,2,1,,,2,2,,2,,1,2,2,,,2,2,2,2,2,,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,,1,2,,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,,2,2,1,2,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,2,1,,,,2,2,,2,2,1,1,1,2,2,2,2,,1,2,,1,1,2,2,2,1,2,2,,2,,2,2,2,,2,2,1,2,2,2,,,2,2,2,2,2,1,1,1,1,,1,,1,,,1,1,2,2,1,2,2,2,1,,,2,1,2,,1,2,1,1,o,,,,,,s,s,n,n,,n,1,1,0,1,0,1,,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,0,1,1,0,0,0,,,0,0,0,0,1,10031,59,333,274,10031,F,1,1,W,W,NA,16,63,17,351,91,289,96,40,20,27,75
10032,english_wg,totlot2,totlot2_15-17m_2.pdf,F,2005-06-16,508,16,NA,1,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,,,1,,,1,o,,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,,1,2,1,1,1,,2,1,2,1,1,,1,,1,2,1,,1,1,1,,1,,,1,2,,1,,,2,,,2,,,1,1,1,2,2,,2,,,1,,2,2,,,,,,1,1,2,,,2,2,,,,,,,,2,,,1,,,,,2,,,,2,,1,,2,,,,,,,1,,1,,,,1,,1,,,1,1,1,1,,,,1,1,,2,2,2,2,1,,2,,,1,,1,,,1,,1,2,1,,,,,,,,,,,,,,,2,1,1,,,,1,,1,,,1,,1,,1,,1,,,,,1,1,,,1,,1,,,,,,,,,,2,1,1,,,,2,,,,1,,,,,,,2,,,,,,1,1,,,2,1,,,,,2,1,,,,,,1,1,2,,,2,2,,1,,2,,1,,,1,,,2,,,,,,1,,,1,,1,,1,,,,1,,2,1,,1,,,,1,1,2,1,1,,,,,,,,1,,1,1,,,,,,,,2,,,2,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,,2,,,1,,,,,,o,o,o,o,o,o,n,n,n,s,n,o,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,,1,1,1,1,1,0,0,0,1,0,1,1,1,1,,10032,92,143,51,10032,F,1,2,W,W,NA,18,56,16,144,27,48,55,41,35,18,23
10033,english_wg,totlot2,totlot2_15-17m_2.pdf,M,2005-06-06,499,16,NA,1,1,1,1,,,,1,1,1,1,1,1,1,,1,,,1,1,,1,1,,1,1,1,1,1,,,n,s,,2,,2,,,,,,,,1,,,,,1,,,2,,,,2,,,,2,,,,,1,,,1,,,,,,,,,,,,,1,1,,1,,,1,2,1,2,1,,2,,,,,2,2,1,,,,,1,,1,,,1,,,,,1,,1,,2,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,2,,1,1,,,2,1,,,,,,1,,2,,1,1,1,,,1,2,,2,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,o,o,o,o,o,s,s,n,o,n,s,n,1,0,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,10033,48,64,16,10033,M,2,2,W,W,NA,16,61,16,65,10,16,30,35,28,18,30
10034,english_wg,totlot2,totlot2_15-17m_2.pdf,F,2005-07-06,526,17,NA,1,1,1,1,1,,,,1,,1,1,1,,1,1,,1,1,,,1,,,1,,1,1,1,,1,,s,,,,,1,,,2,2,,,1,,2,2,2,,,,1,,,,2,,2,,,,,,,2,,,,,,,,,,,2,,,,,2,,,1,,,1,,,2,2,,,2,1,,,2,1,1,1,,,,1,1,2,,,2,2,,,,,,,,1,,,,,,,2,1,,,,,,1,,,,,,1,1,1,1,,2,,,,,,1,2,,1,,1,1,1,1,,,2,,1,2,,,2,,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,,,1,1,,,,1,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,1,,,,,,,,,,,2,,,,,,2,,,,,,2,1,,,2,2,2,1,,2,,,2,1,,1,1,1,,1,,,,1,1,,1,,,,,,,,1,,,,,,,,,1,1,,,1,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,1,,,,2,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,1,,1,,,,,2,,,2,,,,,,,,,,,,,,,,s,,o,,n,n,,n,n,n,1,0,0,1,,1,,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,10034,64,101,37,10034,F,1,3,W,W,NA,18,63,17,104,10,40,24,37,15,16,14
10035,english_wg,totlot2,totlot2_15-17m_2.pdf,M,2005-05-24,492,16,NA,1,1,1,1,,1,,1,,,1,1,1,,,1,1,,1,,,1,1,,1,,1,,1,,,s,s,,,,,1,,,,2,,1,1,,1,,,,1,,1,,,,1,,,,1,,,,,1,,1,1,,,,,,1,,,,1,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,1,1,1,,,1,,1,,,,,1,,2,,,,,,,,2,,,,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,2,,,,,,2,,,,,,2,1,,,,,,,,2,,,2,2,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,o,o,o,o,o,s,s,n,s,"s, o",s,n,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,10035,43,52,9,10035,M,1,2,A,A,NA,17,64,16,52,7,9,20,30,15,14,20
10036,english_wg,totlot2,totlot2_15-17m_2.pdf,M,2005-05-20,498,16,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,o,o,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,2,,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,,,1,,2,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,1,1,,1,2,,,2,1,1,,1,,o,o,o,o,o,o,o,o,o,o,o,o,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,10036,215,376,161,10036,M,1,1,W,W,NA,16,56,16,378,99,161,97,56,97,28,99
10037,english_wg,totlot2,totlot2_15-17m_2.pdf,M,2005-05-25,502,16,NA,1,0,1,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,s,n,,,,1,,,1,,2,,,1,,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,1,,1,,1,,1,1,,,,1,,,,1,,,,1,,1,,,1,,1,,1,,1,,1,1,,,1,,1,,,,1,,1,,,,1,,,1,1,1,,,,,,,1,,1,,1,1,1,,,1,1,1,,1,1,1,1,,,,1,1,,1,1,,,1,1,,1,,1,1,,,,,1,,,,,,,1,1,1,1,,,,1,1,1,1,1,,1,1,,,1,1,1,,,1,1,1,,1,,1,1,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,1,,2,,1,1,,,2,2,,,,,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,,1,,1,,,1,1,,1,1,1,,1,,1,1,,1,1,1,1,,1,1,1,,,1,1,,1,1,,,,1,,1,,1,,,1,,1,1,1,,1,1,1,1,,1,1,1,,,,,,1,,,,1,,,,,,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,,,,,,,1,,,1,,,,1,,1,1,1,,1,1,1,,,1,,1,,,,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,o,o,,n,,s,n,n,s,n,n,n,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,0,1,1,0,,0,1,0,0,0,0,0,0,1,,0,0,0,1,0,1,,1,1,1,,1,,,1,1,1,1,1,10037,164,168,4,10037,M,2,2,W,W,NA,18,60,16,169,46,5,14,33,20,25,70
10039,english_wg,totlot2,totlot2_15-17m_2.pdf,M,2005-07-29,527,17,NA,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,o,n,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,o,o,,,,,,,,o,,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,10039,9,11,2,10039,M,1,2,H,NA,H,18,.,17,12,0,2,7,17,0,3,0
10040,english_wg,totlot2,totlot2_15-17m_2.pdf,F,2005-07-06,511,16,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,o,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,,1,2,2,2,2,1,2,,2,1,1,2,2,,2,2,2,2,1,2,2,,2,,2,,1,1,1,,,2,,,2,,,1,2,2,,2,1,2,2,1,1,1,2,2,2,,,,2,,,2,2,2,2,2,,2,1,2,2,2,2,2,1,2,2,2,2,,2,2,2,1,1,,1,2,1,2,1,1,1,1,2,2,2,,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,,1,,,1,,1,1,1,,1,,,1,,2,,1,1,1,,1,1,2,1,2,2,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,,1,2,2,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,,1,,1,2,1,1,1,1,,2,2,2,2,,,2,1,2,1,,,,2,1,2,1,1,2,2,1,2,2,2,,2,2,1,2,1,1,2,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2,1,1,,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,,1,1,2,,1,1,1,1,,,2,,,,,,1,1,1,2,1,,1,1,2,,1,1,1,1,1,1,1,2,2,1,2,2,,,,,,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,2,2,2,,1,2,,2,1,,,1,2,1,1,2,1,2,,1,2,,1,1,1,1,,,,o,,o,,,,,s,s,,,s,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,,1,1,1,,10040,187,313,126,10040,F,1,2,W,W,NA,18,61,16,325,89,137,88,51,78,28,99
